cladeA_498	c354_g1_i1
cladeA_499	c355_g1_i1
cladeA_500	c356_g1_i1
cladeA_501	c357_g1_i1
cladeA_502	c358_g1_i1
cladeA_503	c359_g1_i1
cladeA_504	c359_g1_i2
cladeA_505	c360_g1_i1
cladeA_506	c361_g1_i1
cladeA_507	c361_g1_i2
cladeA_508	c362_g1_i1
cladeA_509	c363_g1_i1
cladeA_510	c363_g1_i2
cladeA_511	c364_g1_i1
cladeA_512	c365_g1_i1
cladeA_513	c366_g1_i1
cladeA_514	c367_g1_i1
cladeA_515	c368_g1_i1
cladeA_516	c369_g1_i1
cladeA_517	c370_g1_i1
cladeA_518	c371_g1_i1
cladeA_519	c372_g1_i1
cladeA_520	c373_g1_i1
cladeA_521	c374_g1_i1
cladeA_522	c375_g1_i1
cladeA_523	c375_g1_i2
cladeA_524	c376_g1_i1
cladeA_525	c376_g1_i2
cladeA_526	c377_g1_i1
cladeA_527	c378_g1_i1
cladeA_528	c378_g1_i2
cladeA_529	c379_g1_i1
cladeA_530	c379_g1_i2
cladeA_531	c380_g1_i1
cladeA_532	c380_g1_i2
cladeA_533	c381_g1_i1
cladeA_534	c382_g1_i1
cladeA_535	c382_g1_i2
cladeA_536	c383_g1_i1
cladeA_537	c384_g1_i1
cladeA_538	c384_g1_i2
cladeA_539	c385_g1_i1
cladeA_540	c385_g1_i2
cladeA_541	c386_g1_i1
cladeA_542	c387_g1_i1
cladeA_543	c388_g1_i1
cladeA_544	c389_g1_i1
cladeA_545	c389_g1_i2
cladeA_546	c390_g1_i1
cladeA_547	c391_g1_i1
cladeA_548	c392_g1_i1
cladeA_549	c393_g1_i1
cladeA_550	c393_g1_i2
cladeA_551	c394_g1_i1
cladeA_552	c394_g1_i2
cladeA_553	c395_g1_i1
cladeA_554	c395_g1_i2
cladeA_555	c396_g1_i1
cladeA_556	c397_g1_i1
cladeA_557	c398_g1_i1
cladeA_558	c398_g2_i1
cladeA_559	c399_g1_i1
cladeA_560	c400_g1_i1
cladeA_561	c401_g1_i1
cladeA_562	c402_g1_i1
cladeA_563	c403_g1_i1
cladeA_564	c403_g1_i2
cladeA_565	c404_g1_i1
cladeA_566	c405_g1_i1
cladeA_567	c405_g1_i2
cladeA_568	c406_g1_i1
cladeA_569	c407_g1_i1
cladeA_570	c408_g1_i1
cladeA_571	c409_g1_i1
cladeA_572	c410_g1_i1
cladeA_573	c411_g1_i1
cladeA_574	c412_g1_i1
cladeA_575	c412_g1_i2
cladeA_576	c413_g1_i1
cladeA_577	c413_g1_i2
cladeA_578	c414_g1_i1
cladeA_579	c415_g1_i1
cladeA_580	c416_g1_i1
cladeA_581	c416_g1_i2
cladeA_582	c417_g1_i1
cladeA_583	c418_g1_i1
cladeA_584	c419_g1_i1
cladeA_585	c420_g1_i1
cladeA_586	c420_g1_i2
cladeA_587	c421_g1_i1
cladeA_588	c422_g1_i1
cladeA_589	c423_g1_i1
cladeA_590	c424_g1_i1
cladeA_591	c425_g1_i1
cladeA_592	c425_g2_i1
cladeA_593	c426_g1_i1
cladeA_594	c426_g1_i2
cladeA_595	c427_g1_i1
cladeA_596	c427_g1_i2
cladeA_597	c428_g1_i1
cladeA_598	c428_g1_i2
cladeA_599	c429_g1_i1
cladeA_600	c430_g1_i1
cladeA_601	c431_g1_i1
cladeA_602	c432_g1_i1
cladeA_603	c433_g1_i1
cladeA_604	c433_g1_i2
cladeA_605	c434_g1_i1
cladeA_606	c434_g1_i2
cladeA_607	c435_g1_i1
cladeA_608	c436_g1_i1
cladeA_609	c437_g1_i1
cladeA_610	c438_g1_i1
cladeA_611	c438_g1_i2
cladeA_612	c439_g1_i1
cladeA_613	c440_g1_i1
cladeA_614	c441_g1_i1
cladeA_615	c442_g1_i1
cladeA_616	c443_g1_i1
cladeA_617	c444_g1_i1
cladeA_618	c444_g1_i2
cladeA_619	c445_g1_i1
cladeA_620	c446_g1_i1
cladeA_621	c447_g1_i1
cladeA_622	c448_g1_i1
cladeA_623	c448_g1_i2
cladeA_624	c449_g1_i1
cladeA_625	c450_g1_i1
cladeA_626	c450_g1_i2
cladeA_627	c451_g1_i1
cladeA_628	c452_g1_i1
cladeA_629	c452_g1_i2
cladeA_630	c453_g1_i1
cladeA_631	c454_g1_i1
cladeA_632	c454_g1_i2
cladeA_633	c455_g1_i1
cladeA_634	c455_g1_i2
cladeA_635	c456_g1_i1
cladeA_636	c457_g1_i1
cladeA_637	c457_g1_i2
cladeA_638	c458_g1_i1
cladeA_639	c458_g1_i2
cladeA_640	c459_g1_i1
cladeA_641	c460_g1_i1
cladeA_642	c461_g1_i1
cladeA_643	c461_g1_i2
cladeA_644	c462_g1_i1
cladeA_645	c463_g1_i1
cladeA_646	c464_g1_i1
cladeA_647	c465_g1_i1
cladeA_648	c465_g1_i2
cladeA_649	c466_g1_i1
cladeA_650	c467_g1_i1
cladeA_651	c468_g1_i1
cladeA_652	c468_g1_i2
cladeA_653	c469_g1_i1
cladeA_654	c470_g1_i1
cladeA_655	c471_g1_i1
cladeA_656	c471_g1_i2
cladeA_657	c472_g1_i1
cladeA_658	c473_g1_i1
cladeA_659	c474_g1_i1
cladeA_660	c475_g1_i1
cladeA_661	c475_g1_i2
cladeA_662	c476_g1_i1
cladeA_663	c477_g1_i1
cladeA_664	c477_g1_i2
cladeA_665	c478_g1_i1
cladeA_666	c478_g1_i2
cladeA_667	c479_g1_i1
cladeA_668	c480_g1_i1
cladeA_669	c481_g1_i1
cladeA_670	c481_g1_i2
cladeA_671	c482_g1_i1
cladeA_672	c482_g1_i2
cladeA_673	c483_g1_i1
cladeA_674	c483_g1_i2
cladeA_675	c484_g1_i1
cladeA_676	c485_g1_i1
cladeA_677	c486_g1_i1
cladeA_678	c487_g1_i1
cladeA_679	c488_g1_i1
cladeA_680	c490_g1_i1
cladeA_681	c491_g1_i1
cladeA_682	c491_g1_i2
cladeA_683	c492_g1_i1
cladeA_684	c493_g1_i1
cladeA_685	c493_g1_i2
cladeA_686	c494_g1_i1
cladeA_687	c495_g1_i1
cladeA_688	c495_g1_i2
cladeA_689	c496_g1_i1
cladeA_690	c497_g1_i1
cladeA_691	c498_g1_i1
cladeA_692	c499_g1_i1
cladeA_693	c500_g1_i1
cladeA_694	c500_g1_i2
cladeA_695	c501_g1_i1
cladeA_696	c501_g1_i2
cladeA_697	c502_g1_i1
cladeA_698	c502_g1_i2
cladeA_699	c503_g1_i1
cladeA_700	c504_g1_i1
cladeA_701	c504_g1_i2
cladeA_702	c505_g1_i1
cladeA_703	c505_g1_i2
cladeA_704	c506_g1_i1
cladeA_705	c506_g1_i2
cladeA_706	c507_g1_i1
cladeA_707	c507_g1_i2
cladeA_708	c508_g1_i1
cladeA_709	c508_g1_i2
cladeA_710	c509_g1_i1
cladeA_711	c510_g1_i1
cladeA_712	c511_g1_i1
cladeA_713	c512_g1_i1
cladeA_714	c512_g1_i2
cladeA_715	c513_g1_i1
cladeA_716	c513_g1_i2
cladeA_717	c514_g1_i1
cladeA_718	c514_g1_i2
cladeA_719	c515_g1_i1
cladeA_720	c516_g1_i1
cladeA_721	c517_g1_i1
cladeA_722	c519_g1_i1
cladeA_723	c519_g1_i2
cladeA_724	c520_g1_i1
cladeA_725	c521_g1_i1
cladeA_726	c521_g1_i2
cladeA_727	c522_g1_i1
cladeA_728	c523_g1_i1
cladeA_729	c523_g1_i2
cladeA_730	c524_g1_i1
cladeA_731	c525_g1_i1
cladeA_732	c525_g1_i2
cladeA_733	c526_g1_i1
cladeA_734	c527_g1_i1
cladeA_735	c528_g1_i1
cladeA_736	c529_g1_i1
cladeA_737	c530_g1_i1
cladeA_738	c531_g1_i1
cladeA_739	c532_g1_i1
cladeA_740	c533_g1_i1
cladeA_741	c533_g1_i2
cladeA_742	c534_g1_i1
cladeA_743	c535_g1_i1
cladeA_744	c535_g1_i2
cladeA_745	c536_g1_i1
cladeA_746	c536_g1_i2
cladeA_747	c537_g1_i1
cladeA_748	c537_g1_i2
cladeA_749	c538_g1_i1
cladeA_750	c538_g1_i2
cladeA_751	c539_g1_i1
cladeA_752	c540_g1_i1
cladeA_753	c540_g1_i2
cladeA_754	c541_g1_i1
cladeA_755	c542_g1_i1
cladeA_756	c542_g1_i2
cladeA_757	c543_g1_i1
cladeA_758	c544_g1_i1
cladeA_759	c545_g1_i1
cladeA_760	c545_g1_i2
cladeA_761	c546_g1_i1
cladeA_762	c547_g1_i1
cladeA_763	c548_g1_i1
cladeA_764	c548_g1_i2
cladeA_765	c549_g1_i1
cladeA_766	c549_g1_i2
cladeA_767	c550_g1_i1
cladeA_768	c550_g1_i2
cladeA_769	c551_g1_i1
cladeA_770	c552_g1_i1
cladeA_771	c553_g1_i1
cladeA_772	c553_g1_i2
cladeA_773	c554_g1_i1
cladeA_774	c554_g1_i2
cladeA_775	c556_g1_i1
cladeA_776	c556_g1_i2
cladeA_777	c557_g1_i1
cladeA_778	c558_g1_i1
cladeA_779	c558_g1_i2
cladeA_780	c559_g1_i1
cladeA_781	c559_g1_i2
cladeA_782	c560_g1_i1
cladeA_783	c560_g1_i2
cladeA_784	c561_g1_i1
cladeA_785	c561_g1_i2
cladeA_786	c562_g1_i1
cladeA_787	c562_g1_i2
cladeA_788	c563_g1_i1
cladeA_789	c563_g1_i2
cladeA_790	c564_g1_i1
cladeA_791	c564_g1_i2
cladeA_792	c565_g1_i1
cladeA_793	c566_g1_i1
cladeA_794	c567_g1_i1
cladeA_795	c567_g1_i2
cladeA_796	c568_g1_i1
cladeA_797	c568_g1_i2
cladeA_798	c569_g1_i1
cladeA_799	c570_g1_i1
cladeA_800	c570_g1_i2
cladeA_801	c571_g1_i1
cladeA_802	c571_g1_i2
cladeA_803	c572_g1_i1
cladeA_804	c573_g1_i1
cladeA_805	c573_g1_i2
cladeA_806	c574_g1_i1
cladeA_807	c575_g1_i1
cladeA_808	c575_g1_i2
cladeA_809	c576_g1_i1
cladeA_810	c576_g1_i2
cladeA_811	c577_g1_i1
cladeA_812	c577_g1_i2
cladeA_813	c578_g1_i1
cladeA_814	c579_g1_i1
cladeA_815	c580_g1_i1
cladeA_816	c580_g1_i2
cladeA_817	c581_g1_i1
cladeA_818	c581_g1_i2
cladeA_819	c582_g1_i1
cladeA_820	c583_g1_i1
cladeA_821	c583_g1_i2
cladeA_822	c584_g1_i1
cladeA_823	c585_g1_i1
cladeA_824	c585_g1_i2
cladeA_825	c586_g1_i1
cladeA_826	c586_g1_i2
cladeA_827	c587_g1_i1
cladeA_828	c588_g1_i1
cladeA_829	c588_g1_i2
cladeA_830	c589_g1_i1
cladeA_831	c590_g1_i1
cladeA_832	c590_g1_i2
cladeA_833	c591_g1_i1
cladeA_834	c592_g1_i1
cladeA_835	c592_g1_i2
cladeA_836	c593_g1_i1
cladeA_837	c594_g1_i1
cladeA_838	c594_g1_i2
cladeA_839	c595_g1_i1
cladeA_840	c596_g1_i1
cladeA_841	c597_g1_i1
cladeA_842	c598_g1_i1
cladeA_843	c599_g1_i1
cladeA_844	c600_g1_i1
cladeA_845	c600_g1_i2
cladeA_846	c602_g1_i1
cladeA_847	c602_g1_i2
cladeA_848	c603_g1_i1
cladeA_849	c604_g1_i1
cladeA_850	c605_g1_i1
cladeA_851	c606_g1_i1
cladeA_852	c607_g1_i1
cladeA_853	c608_g1_i1
cladeA_854	c609_g1_i1
cladeA_855	c609_g1_i2
cladeA_856	c610_g1_i1
cladeA_857	c611_g1_i1
cladeA_858	c612_g1_i1
cladeA_859	c613_g1_i1
cladeA_860	c613_g1_i2
cladeA_861	c614_g1_i1
cladeA_862	c615_g1_i1
cladeA_863	c615_g1_i2
cladeA_864	c616_g1_i1
cladeA_865	c616_g1_i2
cladeA_866	c617_g1_i1
cladeA_867	c618_g1_i1
cladeA_868	c619_g1_i1
cladeA_869	c621_g1_i1
cladeA_870	c621_g1_i2
cladeA_871	c622_g1_i1
cladeA_872	c623_g1_i1
cladeA_873	c623_g1_i2
cladeA_874	c624_g1_i1
