cladeB_469	comp1068_c0_seq1
cladeB_470	comp1069_c0_seq1
cladeB_471	comp1070_c0_seq1
cladeB_472	comp1071_c0_seq1
cladeB_473	comp1075_c0_seq1
cladeB_474	comp1077_c0_seq1
cladeB_475	comp1080_c0_seq1
cladeB_476	comp1081_c0_seq1
cladeB_477	comp1083_c0_seq1
cladeB_478	comp1084_c0_seq1
cladeB_479	comp1088_c0_seq1
cladeB_480	comp1089_c0_seq1
cladeB_481	comp1091_c0_seq1
cladeB_482	comp1092_c0_seq1
cladeB_483	comp1093_c0_seq1
cladeB_484	comp1094_c0_seq1
cladeB_485	comp1101_c0_seq1
cladeB_486	comp1102_c0_seq1
cladeB_487	comp1104_c0_seq1
cladeB_488	comp1105_c0_seq1
cladeB_489	comp1106_c0_seq1
cladeB_490	comp1107_c0_seq1
cladeB_491	comp1111_c0_seq1
cladeB_492	comp1112_c0_seq1
cladeB_493	comp1114_c0_seq1
cladeB_494	comp1116_c0_seq1
cladeB_495	comp1118_c0_seq1
cladeB_496	comp1119_c0_seq1
cladeB_497	comp1121_c0_seq2
cladeB_498	comp1126_c0_seq1
cladeB_499	comp1127_c0_seq1
cladeB_500	comp1128_c0_seq1
cladeB_501	comp1131_c0_seq1
cladeB_502	comp1135_c0_seq1
cladeB_503	comp1136_c0_seq1
cladeB_504	comp1137_c0_seq1
cladeB_505	comp1138_c0_seq1
cladeB_506	comp1139_c0_seq1
cladeB_507	comp1141_c0_seq1
cladeB_508	comp1143_c0_seq1
cladeB_509	comp1145_c0_seq1
cladeB_510	comp1147_c0_seq1
cladeB_511	comp1151_c0_seq1
cladeB_512	comp1155_c0_seq1
cladeB_513	comp1159_c0_seq1
cladeB_514	comp1160_c0_seq1
cladeB_515	comp1164_c0_seq1
cladeB_516	comp1166_c0_seq1
cladeB_517	comp1173_c0_seq1
cladeB_518	comp1175_c0_seq1
cladeB_519	comp1176_c0_seq1
cladeB_520	comp1177_c0_seq1
cladeB_521	comp1178_c0_seq1
cladeB_522	comp1179_c0_seq1
cladeB_523	comp1180_c0_seq1
cladeB_524	comp1181_c0_seq1
cladeB_525	comp1182_c0_seq1
cladeB_526	comp1184_c0_seq1
cladeB_527	comp1188_c0_seq1
cladeB_528	comp1189_c0_seq3
cladeB_529	comp1191_c0_seq1
cladeB_530	comp1193_c0_seq1
cladeB_531	comp1194_c0_seq1
cladeB_532	comp1196_c0_seq1
cladeB_533	comp1198_c0_seq1
